list,Direction,Stop Name,Latitude,Longitude,Name-en-normalized,UID,map link
brts stops,Down,Ammunition Stores,18.567599,73.856329,Ammunition Stores,,http://maps.google.com/?q=loc:18.5675990000001,73.8563289999998
brts stops,UP,Anand Park,18.552667,73.925537,Anand Park,,http://maps.google.com/?q=loc:18.5526670000001,73.9255370000002
brts stops,Down,Anand Park,18.552758,73.925473,Anand Park,,http://maps.google.com/?q=loc:18.5527579999996,73.9254730000003
brts stops,UP,Anandnagar Kothrud,18.50979,73.814767,Anandnagar Kothrud,,http://maps.google.com/?q=loc:18.5097900000001,73.8147669999998
brts stops,Down,Anandnagar Kothrud,18.509369,73.812067,Anandnagar Kothrud,,http://maps.google.com/?q=loc:18.5093689999998,73.8120669999998
brts stops,UP,Anandnagar Sinhagad Road,18.4775999,73.8235549,Anandnagar Sinhagad Road,,http://maps.google.com/?q=loc:18.4775999,73.8235549
brts stops,Down,Anandnagar Sinhagad Road,18.477646,73.823708,Anandnagar Sinhagad Road,,http://maps.google.com/?q=loc:18.477646,73.823708
brts stops,UP,Andh Shala Kothrud,18.496067,73.803298,Andh Shala Kothrud,,http://maps.google.com/?q=loc:18.4960669999999,73.8032980000001
brts stops,Down,Andh Shala Kothrud,18.496169,73.803234,Andh Shala Kothrud,,http://maps.google.com/?q=loc:18.4961690000002,73.8032340000002
brts stops,UP,Annapurna,18.662681,73.783607,Annapurna,,http://maps.google.com/?q=loc:18.662681,73.783607
brts stops,Down,Annapurna,18.662681,73.783607,Annapurna,,http://maps.google.com/?q=loc:18.662681,73.783607
brts stops,UP,Apollo Talkies,18.519584,73.864785,Apollo Talkies,,http://maps.google.com/?q=loc:18.5195839999995,73.8647849999996
brts stops,Down,Apollo Talkies,18.519453,73.864623,Apollo Talkies,,http://maps.google.com/?q=loc:18.519453,73.864623
brts stops,UP,Appa Balawant Chowk,18.514926,73.853746,Appa Balawant Chowk,,http://maps.google.com/?q=loc:18.514926,73.853746
brts stops,Down,Appa Balawant Chowk,18.516316,73.8531111,Appa Balawant Chowk,,http://maps.google.com/?q=loc:18.516316,73.8531111
brts stops,UP,Apple Hospital,18.588332,73.781379,Apple Hospital,,http://maps.google.com/?q=loc:18.5883319999997,73.7813789999997
brts stops,Down,Apple Hospital,18.588616,73.781315,Apple Hospital,,http://maps.google.com/?q=loc:18.5886160000002,73.7813149999998
brts stops,UP,Apsara Talkies,18.500386,73.869343,Apsara Talkies,,http://maps.google.com/?q=loc:18.500386,73.869343
brts stops,Down,Apsara Talkies,18.500137,73.869516,Apsara Talkies,,http://maps.google.com/?q=loc:18.500137,73.869516
brts stops,UP,Aranyeshwar Corner,18.4864,73.8575,Aranyeshwar Corner,,http://maps.google.com/?q=loc:18.4864,73.8575
brts stops,Down,Aranyeshwar Corner,18.4861362,73.8576003,Aranyeshwar Corner,,http://maps.google.com/?q=loc:18.4861362,73.8576003
brts stops,UP,Arsenal Factory Gate,18.57323337,73.858448,Arsenal Factory Gate,,http://maps.google.com/?q=loc:18.5732333699998,73.8584480000001
brts stops,Down,Arsenal Factory Gate,18.573341,73.858408,Arsenal Factory Gate,,http://maps.google.com/?q=loc:18.5733410000001,73.8584079999995
brts stops,UP,Ashish Garden,18.501968,73.802375,Ashish Garden,,http://maps.google.com/?q=loc:18.501968,73.802375
brts stops,Down,Ashish Garden,18.501968,73.802375,Ashish Garden,,http://maps.google.com/?q=loc:18.501968,73.802375
brts stops,UP,Atlas Company,18.618822,73.850344,Atlas Company,,http://maps.google.com/?q=loc:18.618822,73.850344
brts stops,Down,Atlas Company,18.618639,73.849915,Atlas Company,,http://maps.google.com/?q=loc:18.618639,73.849915
brts stops,UP,Aundh Hospital,18.576739,73.803097,Aundh Hospital,,http://maps.google.com/?q=loc:18.5767390000003,73.8030969999996
brts stops,Down,Aundh Hospital,18.576896,73.803226,Aundh Hospital,,http://maps.google.com/?q=loc:18.5768959999996,73.8032259999995
brts stops,UP,Aundhgaon,18.565567,73.812186,Aundhgaon,,http://maps.google.com/?q=loc:18.565567,73.812186
brts stops,Down,Aundhgaon,18.566517,73.812009,Aundhgaon,,http://maps.google.com/?q=loc:18.566517,73.812009
