Sr.,Direction,Stop Name,Name-en-normalized,UID
1093,UP,Ganpati Chowk Tadiwala Road,Ganpati Chowk Tadiwala Road,
1094,DOWN,Ganpati Chowk Tadiwala Road,Ganpati Chowk Tadiwala Road,
1095,UP,Ganpati Mandir Azadnagar,Ganpati Mandir Azadnagar,
1096,DOWN,Ganpati Mandir Azadnagar,Ganpati Mandir Azadnagar,
1097,UP,Ganpati Mandir Sambhajinagar,Ganpati Mandir Sambhajinagar,
1098,DOWN,Ganpati Mandir Sambhajinagar,Ganpati Mandir Sambhajinagar,
1099,UP,Ganpati Matha,Ganpati Matha,
1100,DOWN,Ganpati Matha,Ganpati Matha,
1101,UP,Garage,Garage,
1102,DOWN,Garage,Garage,
1103,UP,Garden City,Garden City,
1104,DOWN,Garden City,Garden City,
1105,UP,Garisson Engineering,Garisson Engineering,
1106,DOWN,Garisson Engineering,Garisson Engineering,
1107,UP,Garmal,Garmal,
1108,DOWN,Garmal,Garmal,
1109,UP,Garware Bungalow,Garware Bungalow,
1110,DOWN,Garware Bungalow,Garware Bungalow,
1111,UP,Garware College,Garware College,
1112,DOWN,Garware College,Garware College,
1113,UP,Gate Number 10,Gate Number 10,
1114,UP,Gavali Matha,Gavali Matha,
1115,DOWN,Gavali Matha,Gavali Matha,
1116,UP,Gavhanenagar,Gavhanenagar,
1117,DOWN,Gavhanenagar,Gavhanenagar,
1118,UP,Gavhanevasti Bahul Road,Gavhanevasti Bahul Road,
1119,DOWN,Gavhanevasti Bahul Road,Gavhanevasti Bahul Road,
1120,UP,Gavhanevasti Bhosari,Gavhanevasti Bhosari,
1121,DOWN,Gavhanevasti Bhosari,Gavhanevasti Bhosari,
1122,UP,Gavkos Maruti,Gavkos Maruti,
1123,DOWN,Gavkos Maruti,Gavkos Maruti,
1124,UP,Gavtevasti,Gavtevasti,
1125,DOWN,Gavtevasti,Gavtevasti,
1126,UP,Gawadevasti,Gawadevasti,
1127,UP,Gavadevasti,Gawadevasti,
1128,DOWN,Gawadevasti,Gawadevasti,
1129,DOWN,Gavadevasti,Gawadevasti,
1130,UP,General Motors,General Motors,
1131,DOWN,General Motors,General Motors,
1132,DOWN,Geometric Chowk,Geometric Chowk,
1133,UP,GF Filters,GF Filters,
1134,DOWN,GF Filters,GF Filters,
1135,UP,Gharkul Vasahat Chikhali,Gharkul Vasahat Chikhali,
1136,DOWN,Gharkul Vasahat Chikhali,Gharkul Vasahat Chikhali,
1137,UP,Gharkul Vasahat Corner,Gharkul Vasahat Corner,
1138,DOWN,Gharkul Vasahat Corner,Gharkul Vasahat Corner,
1139,UP,Gharkul Vasahat Warje,Gharkul Vasahat Warje,
1140,DOWN,Gharkul Vasahat Warje,Gharkul Vasahat Warje,
1141,UP,Ghat Utar Valan,Ghat Utar Valan,
1142,DOWN,Ghat Utar Valan,Ghat Utar Valan,
1143,UP,Ghata Khali,Ghata Khali,
1144,DOWN,Ghata Khali,Ghata Khali,
1145,UP,Ghavtenagar,Ghavtenagar,
1146,DOWN,Ghavtenagar,Ghavtenagar,
1147,UP,Ghodyachi Paga,Ghodyachi Paga,
1148,DOWN,Ghodyachi Paga,Ghodyachi Paga,
1149,UP,Ghole Road Press,Ghole Road Press,
1150,UP,Ghorpade Peth,Ghorpade Peth,
1151,DOWN,Ghorpade Peth,Ghorpade Peth,
1152,UP,Ghorpadi Post,Ghorpadi Post,
1153,DOWN,Ghorpadi Post,Ghorpadi Post,
1154,UP,Ghorpadi Shala,Ghorpadi Shala,
1155,DOWN,Ghorpadi Shala,Ghorpadi Shala,
1156,UP,Ghotawade Phata,Ghotawade Phata,
1157,DOWN,Ghotawade Phata,Ghotawade Phata,
1158,UP,Ghotawade Road Petrol Pump,Ghotawade Road Petrol Pump,
1159,DOWN,Ghotawade Road Petrol Pump,Ghotawade Road Petrol Pump,
1160,UP,Ghotawadegaon,Ghotawadegaon,
1161,DOWN,Ghotawadegaon,Ghotawadegaon,
1162,UP,Ghotwadegaon Phata,Ghotwadegaon Phata,
1163,DOWN,Ghotwadegaon Phata,Ghotwadegaon Phata,
1164,UP,Ghulenager,Ghulenager,
1165,DOWN,Ghulenager,Ghulenager,
1166,UP,Ghulevasti Manjari,Ghulevasti Manjari,
1167,DOWN,Ghulevasti Manjari,Ghulevasti Manjari,
1168,UP,Ghulevasti Undri Road,Ghulevasti Undri Road,
1169,DOWN,Ghulevasti Undri Road,Ghulevasti Undri Road,
1170,UP,Giridhar Bhavan,Giridhar Bhavan,
1171,DOWN,Giridhar Bhavan,Giridhar Bhavan,
1172,UP,Girls Hostel,Girls Hostel,
1173,DOWN,Girls Hostel,Girls Hostel,
1174,UP,Girme Park,Girme Park,
1175,DOWN,Girme Park,Girme Park,
1176,UP,Godambevasti,Godambevasti,
1177,DOWN,Godambevasti,Godambevasti,
1178,UP,Godown Fursungi,Godown Fursungi,
1179,DOWN,Godown Fursungi,Godown Fursungi,
1180,UP,Godown Gultekdi,Godown Gultekdi,
1181,DOWN,Godown Gultekdi,Godown Gultekdi,
1182,UP,Godown Katraj Kondhwa Road,Godown Katraj Kondhwa Road,
1183,DOWN,Godown Katraj Kondhwa Road,Godown Katraj Kondhwa Road,
1184,DOWN,Godown Marketyard,Godown Marketyard,
1185,UP,Godown Talera,Godown Talera,
1186,DOWN,Godown Talera,Godown Talera,
1187,UP,Gogalwadi Phata,Gogalwadi Phata,
1188,DOWN,Gogalwadi Phata,Gogalwadi Phata,
1189,UP,Gokhale Hall,Gokhale Hall,
1190,UP,Ghokhale Hall,Gokhale Hall,
1191,DOWN,Gokhale Hall,Gokhale Hall,
1192,UP,Gokhalemala,Gokhalemala,
1193,DOWN,Gokhalemala,Gokhalemala,
1194,UP,Gokhalenagar Police Line,Gokhalenagar Police Line,
1195,DOWN,Gokhalenagar Police Line,Gokhalenagar Police Line,
1196,UP,Gokhalenagar Shala,Gokhalenagar Shala,
1197,DOWN,Gokhalenagar Shala,Gokhalenagar Shala,
1198,UP,Gokhalenagar Vasahat,Gokhalenagar Vasahat,
1199,DOWN,Gokhalenagar Vasahat,Gokhalenagar Vasahat,
1200,UP,Gokul Bhavan,Gokul Bhavan,
1201,DOWN,Gokul Bhavan,Gokul Bhavan,
1202,UP,Gokul Hotel,Gokul Hotel,
1203,DOWN,Gokul Hotel,Gokul Hotel,
1204,UP,Gokulnagar Dhanori Road,Gokulnagar Dhanori Road,
1205,DOWN,Gokulnagar Dhanori Road,Gokulnagar Dhanori Road,
1206,UP,Gokulnagar Katraj Kondhwa Road,Gokulnagar Katraj Kondhwa Road,
1207,DOWN,Gokulnagar Katraj Kondhwa Road,Gokulnagar Katraj Kondhwa Road,
1208,UP,Gokulnagar Narhe Road,Gokulnagar Narhe Road,
1209,DOWN,Gokulnagar Narhe Road,Gokulnagar Narhe Road,
1210,UP,Gol Market Aundh Road,Gol Market Aundh Road,
1211,DOWN,Gol Market Aundh Road,Gol Market Aundh Road,
1212,UP,Gole Phata,Gole Phata,
1213,DOWN,Gole Phata,Gole Phata,
1214,UP,Golewadi,Golewadi,
1215,DOWN,Golewadi,Golewadi,
1216,UP,Golibar Maidan,Golibar Maidan,
1217,DOWN,Golibar Maidan,Golibar Maidan,
1218,UP,Gondhalenagar,Gondhalenagar,
1219,DOWN,Gondhalenagar,Gondhalenagar,
1220,UP,Goodluck Chowk,Goodluck Chowk,
1221,DOWN,Goodluck Chowk,Goodluck Chowk,
1222,UP,Gopal Patti,Gopal Patti,
1223,DOWN,Gopal Patti,Gopal Patti,
1224,UP,Gopi Chal,Gopi Chal,
1225,DOWN,GopiChal,Gopi Chal,
1226,UP,Gorhe Bk,Gorhe Bk,
1227,DOWN,Gorhe Bk,Gorhe Bk,
1228,UP,Gorhe Bk Shala,Gorhe Bk Shala,
1229,DOWN,Gorhe Bk Shala,Gorhe Bk Shala,
1230,UP,Gorhe Kh,Gorhe Kh,
1231,DOWN,Gorhe Kh,Gorhe Kh,
1232,DOWN,Gosavivasti Karvenagar,Gosavivasti Karvenagar,
1233,UP,Gosavivasti Theur Road,Gosavivasti Theur Road,
1234,DOWN,Gosavivasti Theur Road,Gosavivasti Theur Road,
1235,UP,Govind Garden Chowk,Govind Garden Chowk,
1236,DOWN,Govind Garden Chowk,Govind Garden Chowk,
1237,DOWN,Govind Halwai Chowk,Govind Halwai Chowk,
1238,UP,Govind Mangal Karyalay,Govind Mangal Karyalay,
1239,DOWN,Govind Mangal Karyalay,Govind Mangal Karyalay,
1240,UP,GPO,GPO,
1241,DOWN,GPO,GPO,
1242,UP,Grand Hotel,Grand Hotel,
1243,DOWN,Grand Hotel,Grand Hotel,
1244,UP,Green Acres,Green Acres,
1245,DOWN,Green Acres,Green Acres,
1246,UP,Green Field Society,Green Field Society,
1247,DOWN,Green Field Society,Green Field Society,
1248,UP,Green Oaks Company,Green Oaks Company,
1249,DOWN,Green Oaks Company,Green Oaks Company,
1250,UP,Green Park,Green Park,
1251,DOWN,Green Park,Green Park,
1252,UP,Gruhaprakalp,Gruhaprakalp,
1253,DOWN,Gruhaprakalp,Gruhaprakalp,
1254,UP,Gaurdroom,Guardroom,
1255,UP,Guardroom,Guardroom,
1256,DOWN,Gaurdroom,Guardroom,
1257,DOWN,Guardroom,Guardroom,
1258,UP,Gujarwadi,Gujarwadi,
1259,DOWN,Gujarwadi,Gujarwadi,
1260,UP,Gujarwadi Phata,Gujarwadi Phata,
1261,DOWN,Gujarwadi Phata,Gujarwadi Phata,
1262,UP,Gujrat Colony,Gujrat Colony,
1263,DOWN,Gujrat Colony,Gujrat Colony,
1264,UP,Gul Aali,Gul Aali,
1265,UP,Gulabnagar,Gulabnagar,
1266,DOWN,Gulabnagar,Gulabnagar,
1267,UP,Gulmohar City,Gulmohar City,
1268,DOWN,Gulmohar City,Gulmohar City,
1269,UP,Gulnur Farm,Gulnur Farm,
1270,DOWN,Gulnur Farm,Gulnur Farm,
1271,UP,Gunjan Corner,Gunjan Corner,
1272,DOWN,Gunjan Corner,Gunjan Corner,
1273,UP,Guru Ganeshnagar,Guru Ganeshnagar,
1274,DOWN,Guru Ganeshnagar,Guru Ganeshnagar,
1275,UP,Gurudatta Fabricators,Gurudatta Fabricators,
1276,DOWN,Gurudatta Fabricators,Gurudatta Fabricators,
1277,UP,Gurudev Dattanagar,Gurudev Dattanagar,
1278,DOWN,Gurudev Dattanagar,Gurudev Dattanagar,
1279,UP,Gurudwara,Gurudwara,
1280,DOWN,Gurudwara,Gurudwara,
1281,UP,Gurujan Society,Gurujan Society,
1282,DOWN,Gurujan Society,Gurujan Society,
1283,UP,Gurukrupa Hospital,Gurukrupa Hospital,
1284,DOWN,Gurukrupa Hospital,Gurukrupa Hospital,
1285,UP,Guruprasad Bungalow,Guruprasad Bungalow,
1286,UP,HA,HA,
1287,DOWN,HA,HA,
1288,UP,HA Corner,HA Corner,
1289,DOWN,HA Corner,HA Corner,
1290,UP,Hadapsar Gadital,Hadapsar Gadital,
1291,DOWN,Hadapsar Gadital,Hadapsar Gadital,
1292,UP,Hadapsar Gadital Saswad Road,Hadapsar Gadital Saswad Road,
1293,DOWN,Hadapsar Gadital Saswad Road,Hadapsar Gadital Saswad Road,
1294,UP,Hadapsar Gadital Solapur Road,Hadapsar Gadital Solapur Road,
1295,DOWN,Hadapsar Gadital Solapur Road,Hadapsar Gadital Solapur Road,
1296,UP,Hadapsargaon,Hadapsargaon,
1297,DOWN,Hadapsargaon,Hadapsargaon,
1298,UP,Hagawanevasti,Hagawanevasti,
1299,DOWN,Hagawanevasti,Hagawanevasti,
1300,UP,Hagawne Padal,Hagawne Padal,
1301,DOWN,Hagawne Padal,Hagawne Padal,
1302,UP,Handewadigaon,Handewadigaon,
1303,DOWN,Handewadigaon,Handewadigaon,
1304,UP,Hanuman Chowk,Hanuman Chowk,
1305,DOWN,Hanuman Chowk,Hanuman Chowk,
1306,UP,Hanuman Mandir Indori,Hanuman Mandir Indori,
1307,DOWN,Hanuman Mandir Indori,Hanuman Mandir Indori,
1308,UP,Hanuman Mandir Pisoli,Hanuman Mandir Pisoli,
1309,DOWN,Hanuman Mandir Pisoli,Hanuman Mandir Pisoli,
1310,UP,Hanumannagar,Hanumannagar,
1311,DOWN,Hanumannagar,Hanumannagar,
1312,UP,Harihareshwar Mandir,Harihareshwar Mandir,
1313,DOWN,Harihareshwar Mandir,Harihareshwar Mandir,
1314,UP,Harijanvasti,Harijanvasti,
1315,DOWN,Harijanvasti,Harijanvasti,
1316,UP,Hariprasad Bungalow,Hariprasad Bungalow,
1317,DOWN,Hariprasad Bungalow,Hariprasad Bungalow,
1318,UP,Harpalevasti Fursungi,Harpalevasti Fursungi,
1319,DOWN,Harpalevasti Fursungi,Harpalevasti Fursungi,
1320,UP,Harpalevasti Nhavi Sandas Road,Harpalevasti Nhavi Sandas Road,
1321,DOWN,Harpalevasti Nhavi Sandas Road,Harpalevasti Nhavi Sandas Road,
1322,UP,Hatti Chowk,Hatti Chowk,
1323,DOWN,Hatti Chowk,Hatti Chowk,
1324,UP,Hawaldarvasti,Hawaldarvasti,
1325,DOWN,Hawaldarvasti,Hawaldarvasti,
1326,UP,HDFC,HDFC,
1327,DOWN,HDFC,HDFC,
1328,UP,Heaven Park,Heaven Park,
1329,DOWN,Heaven Park,Heaven Park,
1330,UP,Hegdewar Bhavan,Hegdewar Bhavan,
1331,DOWN,Hegdewar Bhavan,Hegdewar Bhavan,
1332,UP,HEMRL Company,HEMRL Company,
1333,DOWN,HEMRL Company,HEMRL Company,
1334,UP,Hero Chassis,Hero Chassis,
1335,DOWN,Hero Chassis,Hero Chassis,
1336,UP,Highway Corner,Highway Corner,
1337,DOWN,Highway Corner,Highway Corner,
1338,UP,Hill Hila,Hill Hila,
1339,DOWN,Hill Hila,Hill Hila,
1340,UP,Hingne,Hingne,
1341,DOWN,Hingne,Hingne,
1342,UP,Hinjawadi Jakat Naka,Hinjawadi Jakat Naka,
1343,DOWN,Hinjawadi Jakat Naka,Hinjawadi Jakat Naka,
1344,UP,Hinjawadi Maan Phase 3,Hinjawadi Maan Phase 3,
1345,UP,Hinjawadi - Maan Phase 3,Hinjawadi Maan Phase 3,
1346,DOWN,Hinjawadi Maan Phase 3,Hinjawadi Maan Phase 3,
1347,DOWN,Hinjawadi - Maan Phase 3,Hinjawadi Maan Phase 3,
1348,UP,Hinjawadi Petrol Pump,Hinjawadi Petrol Pump,
1349,DOWN,Hinjawadi Petrol Pump,Hinjawadi Petrol Pump,
1350,UP,Hinjawadigaon,Hinjawadigaon,
1351,DOWN,Hinjawadigaon,Hinjawadigaon,
1352,UP,Hipick Company,Hipick Company,
1353,DOWN,Hipick Company,Hipick Company,
1354,UP,Hirabaug,Hirabaug,
1355,DOWN,Hirabaug,Hirabaug,
1356,UP,HMR Company,HMR Company,
1357,DOWN,HMR Company,HMR Company,
1358,UP,Hockey Ground,Hockey Ground,
1359,DOWN,Hockey Ground,Hockey Ground,
1360,UP,Holi Angel Shala,Holi Angel Shala,
1361,DOWN,Holi Angel Shala,Holi Angel Shala,
1362,UP,Holkar Pul Corner,Holkar Pul Corner,
1363,DOWN,Holkar Pul Corner,Holkar Pul Corner,
1364,UP,Holkar water works,Holkar water works,
1365,DOWN,Holkar water works,Holkar water works,
1366,UP,Holkarwadi,Holkarwadi,
1367,DOWN,Holkarwadi,Holkarwadi,
1368,UP,Homegaurd,Homegaurd,
1369,DOWN,Homegaurd,Homegaurd,
1370,UP,Hotel Mahima,Hotel Mahima,
1371,DOWN,Hotel Mahima,Hotel Mahima,
1372,UP,Hotel Rajyog,Hotel Rajyog,
1373,DOWN,Hotel Rajyog,Hotel Rajyog,
1374,UP,Hotel Sagar,Hotel Sagar,
1375,DOWN,Hotel Sagar,Hotel Sagar,
1376,UP,Hotel Vitthal Kamat,Hotel Vitthal Kamat,
1377,DOWN,Hotel Vitthal Kamat,Hotel Vitthal Kamat,
1378,UP,Housing Board Corner,Housing Board Corner,
1379,DOWN,Housing Board Corner,Housing Board Corner,
1380,UP,HRA Reliance,HRA Reliance,
1381,DOWN,HRA Reliance,HRA Reliance,
1382,UP,Hud Company,Hud Company,
1383,DOWN,Hud Company,Hud Company,
1384,UP,Hyderabad Cement Company,Hyderabad Cement Company,
1385,DOWN,Hyderabad Cement Company,Hyderabad Cement Company,
1386,UP,IAT Gate,IAT Gate,
1387,DOWN,IAT Gate,IAT Gate,
1388,UP,IBM,IBM,
1389,DOWN,IBM,IBM,
1390,UP,IBP Pump,IBP Pump,
1391,DOWN,IBP Pump,IBP Pump,
1392,DOWN,Icchapurti Ganesh Mandir,Icchapurti Ganesh Mandir,
1393,UP,Ideal Colony,Ideal Colony,
1394,DOWN,Ideal Colony,Ideal Colony,
1395,UP,IIMS Institute,IIMS Institute,
1396,DOWN,IIMS Institute,IIMS Institute,
1397,UP,IMD Colony,IMD Colony,
1398,DOWN,IMD Colony,IMD Colony,
1399,UP,Inam Aali,Inam Aali,
1400,DOWN,Inam Aali,Inam Aali,
1401,UP,Inamdarvasti Rahutwadi,Inamdarvasti Rahutwadi,
1402,DOWN,Inamdarvasti Rahutwadi,Inamdarvasti Rahutwadi,
1403,UP,Inamdarvasti Solapur Road,Inamdarvasti Solapur Road,
1404,DOWN,Inamdarvasti Solapur Road,Inamdarvasti Solapur Road,
1405,UP,Income Tax Office,Income Tax Office,
1406,DOWN,Income Tax Office,Income Tax Office,
1407,DOWN,Incometax Office,Income Tax Office,
1408,UP,Indian Card,Indian Card,
1409,DOWN,Indian Card,Indian Card,
1410,UP,Indian Hume Pipe,Indian Hume Pipe,
1411,DOWN,Indian Hume Pipe,Indian Hume Pipe,
1412,UP,Indira Vasahat,Indira Vasahat,
1413,DOWN,Indira Vasahat,Indira Vasahat,
1414,DOWN,Indiranagar,Indiranagar,
1415,UP,Indiranagar Chinchwad,Indiranagar Chinchwad,
1416,DOWN,Indiranagar Chinchwad,Indiranagar Chinchwad,
1417,UP,Indoorance Company Chakan Mhalunge,Indoorance Company Chakan Mhalunge,
1418,DOWN,Indoorance Company Chakan Mhalunge,Indoorance Company Chakan Mhalunge,
1419,UP,Indoorance System Chakan Mhalunge,Indoorance System Chakan Mhalunge,
1420,DOWN,Indoorance System Chakan Mhalunge,Indoorance System Chakan Mhalunge,
1421,UP,Indori Bypass Phata,Indori Bypass Phata,
1422,DOWN,Indori Bypass Phata,Indori Bypass Phata,
1423,UP,Indraprabha,Indraprabha,
1424,DOWN,Indraprabha,Indraprabha,
1425,UP,Indrayani College,Indrayani College,
1426,DOWN,Indrayani College,Indrayani College,
1427,UP,Indrayani Darshan,Indrayani Darshan,
1428,DOWN,Indrayani Darshan,Indrayani Darshan,
1429,UP,Indrayani Hotel,Indrayani Hotel,
1430,DOWN,Indrayani Hotel,Indrayani Hotel,
1431,UP,Indrayani Karyalay Kalebhoratenagar,Indrayani Karyalay Kalebhoratenagar,
1432,DOWN,Indrayani Karyalay Kalebhoratenagar,Indrayani Karyalay Kalebhoratenagar,
1433,UP,Indrayani Karyalay Navlakh Umbre Road,Indrayani Karyalay Navlakh Umbre Road,
1434,DOWN,Indrayani Karyalay Navlakh Umbre Road,Indrayani Karyalay Navlakh Umbre Road,
1435,UP,Indrayani Pul Markal Road,Indrayani Pul Markal Road,
1436,DOWN,Indrayani Pul Markal Road,Indrayani Pul Markal Road,
1437,UP,Indrayani Pul Talawade Road,Indrayani Pul Talawade Road,
1438,DOWN,Indrayani Pul Talawade Road,Indrayani Pul Talawade Road,
1439,UP,Indrayani Vihar,Indrayani Vihar,
1440,DOWN,Indrayani Vihar,Indrayani Vihar,
1441,UP,Indrayaninagar,Indrayaninagar,
1442,DOWN,Indrayaninagar,Indrayaninagar,
1443,UP,Indrayaninagar Corner,Indrayaninagar Corner,
1444,DOWN,Indrayaninagar Corner,Indrayaninagar Corner,
1445,UP,Industrial Company,Industrial Company,
1446,DOWN,Industrial Company,Industrial Company,
1447,UP,Industrial Society,Industrial Society,
1448,DOWN,Industrial Society,Industrial Society,
1449,UP,Infosys Phase 1,Infosys Phase 1,
1450,DOWN,Infosys Phase 1,Infosys Phase 1,
1451,UP,Infosys Phase 2,Infosys Phase 2,
1452,DOWN,Infosys Phase 2,Infosys Phase 2,
1453,UP,Ingale Colony,Ingale Colony,
1454,DOWN,Ingale Colony,Ingale Colony,
1455,UP,Ingale Hospital,Ingale Hospital,
1456,DOWN,Ingale Hospital,Ingale Hospital,
1457,UP,Ingalenagar,Ingalenagar,
1458,DOWN,Ingalenagar,Ingalenagar,
1459,UP,Ingalevasti,Ingalevasti,
1460,DOWN,Ingalevasti,Ingalevasti,
1461,UP,Inland Containors,Inland Containors,
1462,DOWN,Inland Containors,Inland Containors,
1463,UP,Insurance Company,Insurance Company,
1464,DOWN,Insurance Company,Insurance Company,
1465,UP,Ishanyanagari,Ishanyanagari,
1466,DOWN,Ishanyanagari,Ishanyanagari,
1467,UP,ITI Aundh,ITI Aundh,
1468,DOWN,ITI Aundh,ITI Aundh,
1469,UP,ITI Saswad Road,ITI Saswad Road,
1470,DOWN,ITI Saswad Road,ITI Saswad Road,
1471,UP,Jadhavnagar,Jadhavnagar,
1472,DOWN,Jadhavnagar,Jadhavnagar,
1473,UP,Jadhavvasti,Jadhavvasti,
1474,DOWN,Jadhavvasti,Jadhavvasti,
1475,UP,Jadhavwadi Chikhali,Jadhavwadi Chikhali,
1476,DOWN,Jadhavwadi Chikhali,Jadhavwadi Chikhali,
1477,UP,Jadhavwadi Khadakwasla Road,Jadhavwadi Khadakwasla Road,
1478,DOWN,Jadhavwadi Khadakwasla Road,Jadhavwadi Khadakwasla Road,
1479,UP,Jadhavwadi Phata Chikhali,Jadhavwadi Phata Chikhali,
1480,DOWN,Jadhavwadi Phata Chikhali,Jadhavwadi Phata Chikhali,
1481,UP,Jagtap Chowk,Jagtap Chowk,
1482,DOWN,Jagtap Chowk,Jagtap Chowk,
1483,UP,Jagtap Dairy,Jagtap Dairy,
1484,DOWN,Jagtap Dairy,Jagtap Dairy,
1485,UP,Jagtap Dairy Lonikand,Jagtap Dairy Lonikand,
1486,DOWN,Jagtap Dairy Lonikand,Jagtap Dairy Lonikand,
1487,UP,Jai Bhavaninagar,Jai Bhavaninagar,
1488,DOWN,Jai Bhavaninagar,Jai Bhavaninagar,
1489,UP,Jai Ganesh Mandir,Jai Ganesh Mandir,
1490,DOWN,Jai Ganesh Mandir,Jai Ganesh Mandir,
1491,UP,Jai Ganesh Vision,Jai Ganesh Vision,
1492,DOWN,Jai Ganesh Vision,Jai Ganesh Vision,
1493,UP,Jaibhavani Warehousing,Jaibhavani Warehousing,
1494,DOWN,Jaibhavani Warehousing,Jaibhavani Warehousing,
1495,UP,Jaidevnagar,Jaidevnagar,
1496,DOWN,Jaidevnagar,Jaidevnagar,
1497,UP,Jain Mandir Dehugaon,Jain Mandir Dehugaon,
1498,DOWN,Jain Mandir Dehugaon,Jain Mandir Dehugaon,
1499,UP,Jain Mandir Guruwar Peth,Jain Mandir Guruwar Peth,
1500,UP,Jakat Naka Mohammadwadi,Jakat Naka Mohammadwadi,
1501,DOWN,Jakat Naka Mohammadwadi,Jakat Naka Mohammadwadi,
1502,UP,Jakat Naka Pisoli,Jakat Naka Pisoli,
1503,DOWN,Jakat Naka Pisoli,Jakat Naka Pisoli,
1504,UP,Jakat Naka Saswad,Jakat Naka Saswad,
1505,DOWN,Jakat Naka Saswad,Jakat Naka Saswad,
1506,UP,Jalindarbaug Wadki,Jalindarbaug Wadki,
1507,DOWN,Jalindarbaug Wadki,Jalindarbaug Wadki,
1508,UP,Jalvayu Vihar Society,Jalvayu Vihar Society,
1509,DOWN,Jalvayu Vihar Society,Jalvayu Vihar Society,
1510,UP,Jamadarvasti,Jamadarvasti,
1511,DOWN,Jamadarvasti,Jamadarvasti,
1512,UP,Jambe,Jambe,
1513,DOWN,Jambe,Jambe,
1514,UP,Jambhulakaravasti,Jambhulakaravasti,
1515,DOWN,Jambhulakaravasti,Jambhulakaravasti,
1516,UP,Jambhulkarnagar,Jambhulkarnagar,
1517,DOWN,Jambhulkarnagar,Jambhulkarnagar,
1518,UP,Jambhulwadi,Jambhulwadi,
1519,DOWN,Jambhulwadi,Jambhulwadi,
1520,UP,Jambkarvasti,Jambkarvasti,
1521,DOWN,Jambkarvasti,Jambkarvasti,
1522,UP,Janakbaba Darga,Janakbaba Darga,
1523,DOWN,Janakbaba Darga,Janakbaba Darga,
1524,UP,Janwadi,Janwadi,
1525,DOWN,Janwadi,Janwadi,
1526,UP,Janwadi Corner,Janwadi Corner,
1527,DOWN,Janwadi Corner,Janwadi Corner,
1528,UP,Jawalkarnagar,Javalkarnagar,
1529,UP,Jawalgaon,Jawalgaon,
1530,DOWN,Jawalgaon,Jawalgaon,
1531,UP,Jawalkar Hospital,Jawalkar Hospital,
1532,DOWN,Jawalkar Hospital,Jawalkar Hospital,
1533,UP,Jayanand Khira,Jayanand Khira,
1534,DOWN,Jayanand Khira,Jayanand Khira,
1535,UP,Jayhind Highschool,Jayhind Highschool,
1536,DOWN,Jayhind Highschool,Jayhind Highschool,
1537,UP,Jaykar Bungalow,Jaykar Bungalow,
1538,DOWN,Jaykar Bungalow,Jaykar Bungalow,
1539,UP,Jayshree Talkies,Jayshree Talkies,
1540,DOWN,Jayshree Talkies,Jayshree Talkies,
1541,UP,JCB,JCB,
1542,DOWN,JCB,JCB,
1543,UP,Jeevan Shikshan Mandir Vanjalwadi,Jeevan Shikshan Mandir Vanjalwadi,
1544,DOWN,Jeevan Shikshan Mandir Vanjalwadi,Jeevan Shikshan Mandir Vanjalwadi,
1545,UP,Jeevannagar Hospital,Jeevannagar Hospital,
1546,DOWN,Jeevannagar Hospital,Jeevannagar Hospital,
1547,UP,Jehangir Hospital,Jehangir Hospital,
1548,UP,Jahangir Hospital,Jehangir Hospital,
1549,DOWN,Jehangir Hospital,Jehangir Hospital,
1550,DOWN,Jahangir Hospital,Jehangir Hospital,
1551,UP,Jehangirnagar,Jehangirnagar,
1552,DOWN,Jehangirnagar,Jehangirnagar,
1553,UP,Jijamata Chowk,Jijamata Chowk,
1554,DOWN,Jijamata Chowk,Jijamata Chowk,
1555,UP,Jijamata Hospital,Jijamata Hospital,
1556,DOWN,Jijamata Hospital,Jijamata Hospital,
1557,UP,Jijamatabaug,Jijamatabaug,
1558,DOWN,Jijamatabaug,Jijamatabaug,
1559,UP,Jilha Parishad,Jilha Parishad,
1560,DOWN,Jilha Parishad,Jilha Parishad,
1561,UP,Jilha Parishad Shala,Jilha Parishad Shala,
1562,DOWN,Jilha Parishad Shala,Jilha Parishad Shala,
1563,UP,Jilha Parishad Shala Chande,Jilha Parishad Shala Chande,
1564,DOWN,Jilha Parishad Shala Chande,Jilha Parishad Shala Chande,
1565,UP,Jiveshwar Society,Jiveshwar Society,
1566,DOWN,Jiveshwar Society,Jiveshwar Society,
1567,UP,JK Industries,JK Industries,
1568,DOWN,JK Industries,JK Industries,
1569,UP,Jog Prashala,Jog Prashala,
1570,DOWN,Jog Prashala,Jog Prashala,
1571,UP,Jspm College,JSPM college,
1572,DOWN,Jspm College,JSPM college,
1573,UP,Jspm College Phata,JSPM College Phata,
1574,DOWN,Jspm College Phata,JSPM College Phata,
1575,UP,Judson Highschool,Judson Highschool,
1576,DOWN,Judson Highschool,Judson Highschool,
1577,UP,Juna Motor Stand,Juna Motor Stand,
1578,DOWN,Juna Motor Stand,Juna Motor Stand,
1579,UP,Juna Pul Gate,Juna Pulgate,
1580,DOWN,Juna Pul Gate,Juna Pulgate,
1581,UP,Jyoti Ashram,Jyoti Ashram,
1582,DOWN,Jyoti Ashram,Jyoti Ashram,
1583,UP,Jyoti English School,Jyoti English School,
1584,DOWN,Jyoti Hotel,Jyoti Hotel,
1585,UP,Jyotibanagar,Jyotibanagar,
