Sr.,Direction,Stop Name,Name-en-normalized,UID
117,UP,Ambedkar Vasahat,Ambedkar Vasahat,
118,DOWN,Ambedkar Vasahat,Ambedkar Vasahat,
119,UP,Ambedkarnagar Baner,Ambedkarnagar Baner,
120,DOWN,Ambedkarnagar Baner,Ambedkarnagar Baner,
121,UP,Ambedkarnagar Pimplegurav,Ambedkarnagar Pimplegurav,
122,DOWN,Ambedkarnagar Pimplegurav,Ambedkarnagar Pimplegurav,
123,UP,Ambegaon,Ambegaon,
124,DOWN,Ambegaon,Ambegaon,
125,UP,Ambegaon Pathar Corner,Ambegaon Pathar Corner,
126,DOWN,Ambegaon Pathar Corner,Ambegaon Pathar Corner,
127,UP,Ambegaon Phata,Ambegaon Phata,
128,DOWN,Ambegaon Phata,Ambegaon Phata,
129,UP,Ambi Phata,Ambi Phata,
130,DOWN,Ambi Phata,Ambi Phata,
131,UP,Ambience Hotel,Ambience Hotel,
132,UP,Ambigaon,Ambigaon,
133,DOWN,Ambigaon,Ambigaon,
134,UP,Ambil Odha Colony,Ambil Odha Colony,
135,DOWN,Ambil Odha Colony,Ambil Odha Colony,
136,UP,Ammunition Canteen,Ammunition Canteen,
137,DOWN,Ammunition Canteen,Ammunition Canteen,
138,UP,Ammunition Factory,Ammunition Factory,
139,DOWN,Ammunition Factory,Ammunition Factory,
140,UP,Ammunition Factory Gate,Ammunition Factory Gate,
141,DOWN,Ammunition Factory Gate,Ammunition Factory Gate,
142,UP,Ammunition Factory Road,Ammunition Factory Road,
143,DOWN,Ammunition Factory Road,Ammunition Factory Road,
144,UP,Ammunition Stores,Ammunition Stores,
145,DOWN,Ammunition Stores,Ammunition Stores,
146,UP,Amrai,Amrai,
147,DOWN,Amrai,Amrai,
148,UP,Anand Ashram,Anand Ashram,
149,DOWN,Anand Ashram,Anand Ashram,
150,UP,Anand Park,Anand Park,
151,DOWN,Anand Park,Anand Park,
152,UP,Anandnagar Kothrud,Anandnagar Kothrud,
153,DOWN,Anandnagar Kothrud,Anandnagar Kothrud,
154,UP,Anandnagar Marketyard,Anandnagar Marketyard,
155,DOWN,Anandnagar Marketyard,Anandnagar Marketyard,
156,DOWN,Anandnagar Sangvi,Anandnagar Sangvi,
157,UP,Anandnagar Sinhagad Road,Anandnagar Sinhagad Road,
158,DOWN,Anandnagar Sinhagad Road,Anandnagar Sinhagad Road,
159,UP,Anandrao Tupe Patil Vidyalay,Anandrao Tupe Patil Vidyalay,
160,DOWN,Anandrao Tupe Patil Vidyalay,Anandrao Tupe Patil Vidyalay,
161,UP,Anant Talkies,Anant Talkies,
162,DOWN,Anant Talkies,Anant Talkies,
163,UP,Andh Shala Kothrud,Andh Shala Kothrud,
164,DOWN,Andh Shala Kothrud,Andh Shala Kothrud,
165,UP,Andh Shala Ramtekdi,Andh Shala Ramtekdi,
166,DOWN,Andh Shala Ramtekdi,Andh Shala Ramtekdi,
167,UP,Ankur Bungalow,Ankur Bungalow,
168,DOWN,Ankur Bungalow,Ankur Bungalow,
169,UP,Ankush Chowk,Ankush Chowk,
170,DOWN,Ankush Chowk,Ankush Chowk,
171,UP,Annabhau Sathe Udyan,Annabhau Sathe Udyan,
172,DOWN,Annabhau Sathe Udyan,Annabhau Sathe Udyan,
173,UP,Annadhanya Godam,Annadhanya Godam,
174,DOWN,Annadhanya Godam,Annadhanya Godam,
175,UP,Annapurna,Annapurna,
176,DOWN,Annapurna,Annapurna,
177,UP,Annasaheb Magar Stadium,Annasaheb Magar Stadium,
178,DOWN,Annasaheb Magar Stadium,Annasaheb Magar Stadium,
179,UP,Annasaheb Magar Vidyalay,Annasaheb Magar Vidyalay,
180,DOWN,Annasaheb Magar Vidyalay,Annasaheb Magar Vidyalay,
181,UP,Anusaya Enclave,Anusaya Enclave,
182,DOWN,Anusaya Enclave,Anusaya Enclave,
183,UP,Apollo Talkies,Apollo Talkies,
184,DOWN,Apollo Talkies,Apollo Talkies,
185,UP,Appa Balawant Chowk,Appa Balawant Chowk,
186,DOWN,Appa Balawant Chowk,Appa Balawant Chowk,
187,UP,Appughar Corner,Appughar Corner,
188,DOWN,Appughar Corner,Appughar Corner,
189,UP,Apsara Talkies,Apsara Talkies,
190,DOWN,Apsara Talkies,Apsara Talkies,
191,UP,Aranyeshwar Corner,Aranyeshwar Corner,
192,DOWN,Aranyeshwar Corner,Aranyeshwar Corner,
193,UP,ARDE Colony,ARDE Colony,
194,DOWN,ARDE Colony,ARDE Colony,
195,UP,ARDL Gate,ARDL Gate,
196,DOWN,ARDL Gate,ARDL Gate,
197,UP,ARDL Office,ARDL Office,
198,DOWN,ARDL Office,ARDL Office,
199,UP,Army College,Army College,
200,DOWN,Army College,Army College,
201,UP,Arsenal Factory Gate,Arsenal Factory Gate,
202,DOWN,Arsenal Factory Gate,Arsenal Factory Gate,
203,UP,Arsenal Factory Road,Arsenal Factory Road,
204,DOWN,Arsenal Factory Road,Arsenal Factory Road,
205,UP,Arvi Phata,Arvi Phata,
206,DOWN,Arvi Phata,Arvi Phata,
207,DOWN,Arvigaon,Arvigaon,
208,UP,Ashirwad Bungalow,Ashirwad Bungalow,
209,DOWN,Ashirwad Bungalow,Ashirwad Bungalow,
210,UP,Ashirwad Park,Ashirwad Park,
211,UP,Ashish Garden,Ashish Garden,
212,DOWN,Ashish Garden,Ashish Garden,
213,UP,Ashok Leyland Godown,Ashok Leyland Godown,
214,DOWN,Ashok Leyland Godown,Ashok Leyland Godown,
215,UP,Ashok Stambh,Ashok Stambh,
216,DOWN,Ashok Stambh,Ashok Stambh,
217,UP,Ashok Talkies,Ashok Talkies,
218,DOWN,Ashok Talkies,Ashok Talkies,
219,UP,Ashoka Bungalow,Ashoka Bungalow,
220,DOWN,Ashoka Bungalow,Ashoka Bungalow,
221,UP,Ashoknagar Dehu,Ashoknagar Dehu,
222,DOWN,Ashoknagar Dehu,Ashoknagar Dehu,
223,UP,Ashoknagar Rangehills,Ashoknagar Rangehills,
224,DOWN,Ashoknagar Rangehills,Ashoknagar Rangehills,
225,DOWN,Asian Paint Company,Asian Paint Company,
226,UP,Aswee Trading Company,Aswee Trading Company,
227,DOWN,Aswee Trading Company,Aswee Trading Company,
228,UP,Atlas Company,Atlas Company,
229,DOWN,Atlas Company,Atlas Company,
230,UP,Atulnagar,Atulnagar,
231,DOWN,Atulnagar,Atulnagar,
232,UP,Aundh Hospital,Aundh Hospital,
233,DOWN,Aundh Hospital,Aundh Hospital,
234,UP,Aundhgaon,Aundhgaon,
235,DOWN,Aundhgaon,Aundhgaon,
236,UP,Autadewadi Phata,Autadewadi Phata,
237,DOWN,Autadewadi Phata,Autadewadi Phata,
238,UP,Avadhoot Society,Avadhoot Society,
239,DOWN,Avadhoot Society,Avadhoot Society,
240,UP,Avahalwadi,Avahalwadi,
241,DOWN,Avahalwadi,Avahalwadi,
242,UP,Avinash Mangal Karyalay,Avinash Mangal Karyalay,
